instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,cnt,peak
2334,4/12/2011,2,0,4,3,0,2,1,2,0.58,0.5455,0.56,1,0
2335,4/12/2011,2,0,4,4,0,2,1,2,0.56,0.5303,0.64,6,0
2336,4/12/2011,2,0,4,5,0,2,1,2,0.54,0.5152,0.68,16,0
2337,4/12/2011,2,0,4,6,0,2,1,2,0.54,0.5152,0.68,58,0
2338,4/12/2011,2,0,4,7,0,2,1,2,0.54,0.5152,0.68,189,0
2339,4/12/2011,2,0,4,8,0,2,1,3,0.48,0.4697,0.88,226,1
2340,4/12/2011,2,0,4,9,0,2,1,3,0.46,0.4545,0.94,54,0
2341,4/12/2011,2,0,4,10,0,2,1,3,0.5,0.4848,0.82,40,0
2342,4/12/2011,2,0,4,11,0,2,1,1,0.52,0.5,0.77,49,0
2343,4/12/2011,2,0,4,12,0,2,1,2,0.56,0.5303,0.64,92,1
2344,4/12/2011,2,0,4,13,0,2,1,3,0.54,0.5152,0.68,106,1
2345,4/12/2011,2,0,4,14,0,2,1,2,0.5,0.4848,0.82,44,0
2346,4/12/2011,2,0,4,15,0,2,1,2,0.48,0.4697,0.77,78,0
2347,4/12/2011,2,0,4,16,0,2,1,2,0.48,0.4697,0.77,99,0
2348,4/12/2011,2,0,4,17,0,2,1,3,0.44,0.4394,0.77,291,1
2349,4/12/2011,2,0,4,18,0,2,1,3,0.44,0.4394,0.77,224,1
2350,4/12/2011,2,0,4,19,0,2,1,2,0.42,0.4242,0.82,130,0
2351,4/12/2011,2,0,4,20,0,2,1,2,0.42,0.4242,0.82,103,0
2352,4/12/2011,2,0,4,21,0,2,1,2,0.42,0.4242,0.82,84,0
2353,4/12/2011,2,0,4,22,0,2,1,2,0.4,0.4091,0.94,54,0
2354,4/12/2011,2,0,4,23,0,2,1,2,0.4,0.4091,0.94,39,0
2355,4/13/2011,2,0,4,0,0,3,1,2,0.4,0.4091,1.0,15,0
2356,4/13/2011,2,0,4,1,0,3,1,2,0.4,0.4091,1.0,1,0
2357,4/13/2011,2,0,4,2,0,3,1,3,0.4,0.4091,1.0,2,0
2358,4/13/2011,2,0,4,3,0,3,1,3,0.4,0.4091,0.94,2,0
2359,4/13/2011,2,0,4,4,0,3,1,3,0.4,0.4091,0.94,3,0
2360,4/13/2011,2,0,4,5,0,3,1,3,0.38,0.3939,0.94,5,0
2361,4/13/2011,2,0,4,6,0,3,1,3,0.38,0.3939,0.94,34,0
2362,4/13/2011,2,0,4,7,0,3,1,3,0.36,0.3485,1.0,70,0
2363,4/13/2011,2,0,4,8,0,3,1,3,0.38,0.3939,0.94,164,1
2364,4/13/2011,2,0,4,9,0,3,1,2,0.38,0.3939,0.94,65,0
2365,4/13/2011,2,0,4,10,0,3,1,2,0.4,0.4091,0.87,46,0
2366,4/13/2011,2,0,4,11,0,3,1,2,0.42,0.4242,0.82,61,0
2367,4/13/2011,2,0,4,12,0,3,1,3,0.42,0.4242,0.82,95,1
2368,4/13/2011,2,0,4,13,0,3,1,2,0.44,0.4394,0.77,61,1
2369,4/13/2011,2,0,4,14,0,3,1,2,0.42,0.4242,0.77,106,0
2370,4/13/2011,2,0,4,15,0,3,1,2,0.44,0.4394,0.72,81,0
2371,4/13/2011,2,0,4,16,0,3,1,1,0.46,0.4545,0.67,142,0
2372,4/13/2011,2,0,4,17,0,3,1,1,0.46,0.4545,0.67,309,1
2373,4/13/2011,2,0,4,18,0,3,1,1,0.44,0.4394,0.62,321,1
2374,4/13/2011,2,0,4,19,0,3,1,1,0.44,0.4394,0.62,175,0
2375,4/13/2011,2,0,4,20,0,3,1,1,0.44,0.4394,0.62,126,0
2376,4/13/2011,2,0,4,21,0,3,1,1,0.42,0.4242,0.67,117,0
2377,4/13/2011,2,0,4,22,0,3,1,1,0.42,0.4242,0.67,99,0
2378,4/13/2011,2,0,4,23,0,3,1,1,0.4,0.4091,0.71,62,0
2379,4/14/2011,2,0,4,0,0,4,1,1,0.38,0.3939,0.76,21,0
2380,4/14/2011,2,0,4,1,0,4,1,1,0.38,0.3939,0.76,10,0
2381,4/14/2011,2,0,4,2,0,4,1,1,0.36,0.3485,0.76,3,0
2382,4/14/2011,2,0,4,3,0,4,1,1,0.34,0.3333,0.81,2,0
2383,4/14/2011,2,0,4,4,0,4,1,1,0.34,0.3636,0.76,9,0
2384,4/14/2011,2,0,4,5,0,4,1,1,0.34,0.3485,0.76,14,0
2385,4/14/2011,2,0,4,6,0,4,1,1,0.34,0.3485,0.76,70,0
2386,4/14/2011,2,0,4,7,0,4,1,1,0.38,0.3939,0.66,193,0
2387,4/14/2011,2,0,4,8,0,4,1,1,0.42,0.4242,0.58,337,1
2388,4/14/2011,2,0,4,9,0,4,1,1,0.46,0.4545,0.51,170,0
2389,4/14/2011,2,0,4,10,0,4,1,1,0.5,0.4848,0.51,89,0
2390,4/14/2011,2,0,4,11,0,4,1,1,0.52,0.5,0.45,115,0
2391,4/14/2011,2,0,4,12,0,4,1,1,0.54,0.5152,0.42,145,1
2392,4/14/2011,2,0,4,13,0,4,1,1,0.56,0.5303,0.37,159,1
2393,4/14/2011,2,0,4,14,0,4,1,1,0.56,0.5303,0.35,137,0
2394,4/14/2011,2,0,4,15,0,4,1,1,0.6,0.6212,0.31,142,0
2395,4/14/2011,2,0,4,16,0,4,1,1,0.6,0.6061,0.26,202,0
2396,4/14/2011,2,0,4,17,0,4,1,1,0.6,0.6061,0.28,388,1
2397,4/14/2011,2,0,4,18,0,4,1,1,0.56,0.5303,0.3,337,1
2398,4/14/2011,2,0,4,19,0,4,1,1,0.54,0.5152,0.32,259,0
2399,4/14/2011,2,0,4,20,0,4,1,1,0.5,0.4848,0.51,169,0
2400,4/14/2011,2,0,4,21,0,4,1,1,0.46,0.4545,0.63,145,0
2401,4/14/2011,2,0,4,22,0,4,1,1,0.48,0.4697,0.55,104,0
2402,4/14/2011,2,0,4,23,0,4,1,1,0.46,0.4545,0.59,47,0
2403,4/15/2011,2,0,4,0,1,5,0,1,0.44,0.4394,0.67,27,0
2404,4/15/2011,2,0,4,1,1,5,0,1,0.44,0.4394,0.62,15,0
2405,4/15/2011,2,0,4,2,1,5,0,1,0.4,0.4091,0.76,18,0
2406,4/15/2011,2,0,4,3,1,5,0,1,0.4,0.4091,0.76,3,0
2407,4/15/2011,2,0,4,4,1,5,0,1,0.38,0.3939,0.82,3,0
2408,4/15/2011,2,0,4,5,1,5,0,1,0.36,0.3636,0.81,13,0
2409,4/15/2011,2,0,4,6,1,5,0,1,0.36,0.3636,0.81,47,0
2410,4/15/2011,2,0,4,7,1,5,0,1,0.4,0.4091,0.71,149,0
2411,4/15/2011,2,0,4,8,1,5,0,1,0.44,0.4394,0.62,300,0
2412,4/15/2011,2,0,4,9,1,5,0,1,0.5,0.4848,0.55,178,0
2413,4/15/2011,2,0,4,10,1,5,0,1,0.5,0.4848,0.55,122,1
2414,4/15/2011,2,0,4,11,1,5,0,1,0.52,0.5,0.55,136,1
2415,4/15/2011,2,0,4,12,1,5,0,1,0.52,0.5,0.55,200,1
2416,4/15/2011,2,0,4,13,1,5,0,1,0.54,0.5152,0.52,180,1
2417,4/15/2011,2,0,4,14,1,5,0,1,0.54,0.5152,0.52,163,1
2418,4/15/2011,2,0,4,15,1,5,0,1,0.54,0.5152,0.52,162,1
2419,4/15/2011,2,0,4,16,1,5,0,1,0.52,0.5,0.55,243,1
2420,4/15/2011,2,0,4,17,1,5,0,2,0.5,0.4848,0.63,331,1
2421,4/15/2011,2,0,4,18,1,5,0,2,0.46,0.4545,0.67,263,1
2422,4/15/2011,2,0,4,19,1,5,0,1,0.42,0.4242,0.77,209,1
2423,4/15/2011,2,0,4,20,1,5,0,2,0.4,0.4091,0.76,118,0
2424,4/15/2011,2,0,4,21,1,5,0,2,0.4,0.4091,0.76,102,0
2425,4/15/2011,2,0,4,22,1,5,0,2,0.38,0.3939,0.82,80,0
2426,4/15/2011,2,0,4,23,1,5,0,2,0.36,0.3485,0.81,64,0
2427,4/16/2011,2,0,4,0,0,6,0,2,0.36,0.3485,0.81,43,0
2428,4/16/2011,2,0,4,1,0,6,0,2,0.36,0.3333,0.87,33,0
2429,4/16/2011,2,0,4,2,0,6,0,2,0.36,0.3485,0.87,24,0
2430,4/16/2011,2,0,4,3,0,6,0,2,0.36,0.3485,0.87,14,0
2431,4/16/2011,2,0,4,4,0,6,0,2,0.36,0.3485,0.87,5,0
2432,4/16/2011,2,0,4,5,0,6,0,2,0.38,0.3939,0.87,4,0
2433,4/16/2011,2,0,4,6,0,6,0,3,0.4,0.4091,0.82,10,0
2434,4/16/2011,2,0,4,7,0,6,0,2,0.4,0.4091,0.82,21,0
2435,4/16/2011,2,0,4,8,0,6,0,3,0.4,0.4091,0.87,45,0
2436,4/16/2011,2,0,4,9,0,6,0,3,0.4,0.4091,1.0,29,0
2437,4/16/2011,2,0,4,10,0,6,0,3,0.42,0.4242,0.94,22,1
2438,4/16/2011,2,0,4,11,0,6,0,3,0.42,0.4242,0.94,31,1
2439,4/16/2011,2,0,4,12,0,6,0,2,0.46,0.4545,0.88,32,1
2440,4/16/2011,2,0,4,13,0,6,0,3,0.46,0.4545,0.94,58,1
2441,4/16/2011,2,0,4,14,0,6,0,3,0.52,0.5,0.83,63,1
2442,4/16/2011,2,0,4,15,0,6,0,3,0.52,0.5,0.83,78,1
2443,4/16/2011,2,0,4,16,0,6,0,3,0.5,0.4848,0.88,33,1
2444,4/16/2011,2,0,4,17,0,6,0,3,0.5,0.4848,0.88,15,1
2445,4/16/2011,2,0,4,18,0,6,0,2,0.5,0.4848,0.94,38,1
2446,4/16/2011,2,0,4,19,0,6,0,2,0.52,0.5,0.94,71,1
2447,4/16/2011,2,0,4,20,0,6,0,3,0.44,0.4394,0.94,53,0
2448,4/16/2011,2,0,4,21,0,6,0,2,0.44,0.4394,0.94,14,0
2449,4/16/2011,2,0,4,22,0,6,0,3,0.42,0.4242,1.0,24,0
2450,4/16/2011,2,0,4,23,0,6,0,2,0.44,0.4394,0.77,35,0
2451,4/17/2011,2,0,4,0,0,0,0,2,0.44,0.4394,0.77,33,0
2452,4/17/2011,2,0,4,1,0,0,0,1,0.42,0.4242,0.67,31,0
2453,4/17/2011,2,0,4,2,0,0,0,1,0.4,0.4091,0.62,29,0
2454,4/17/2011,2,0,4,3,0,0,0,1,0.4,0.4091,0.66,25,0
2455,4/17/2011,2,0,4,4,0,0,0,1,0.36,0.3636,0.76,7,0
2456,4/17/2011,2,0,4,5,0,0,0,1,0.36,0.3485,0.71,3,0
2457,4/17/2011,2,0,4,6,0,0,0,1,0.36,0.3182,0.66,8,0
2458,4/17/2011,2,0,4,7,0,0,0,1,0.36,0.3333,0.5,16,0
2459,4/17/2011,2,0,4,8,0,0,0,1,0.38,0.3939,0.46,43,0
2460,4/17/2011,2,0,4,9,0,0,0,1,0.4,0.4091,0.43,102,0
2461,4/17/2011,2,0,4,10,0,0,0,1,0.42,0.4242,0.44,211,1
2462,4/17/2011,2,0,4,11,0,0,0,1,0.46,0.4545,0.41,304,1
2463,4/17/2011,2,0,4,12,0,0,0,1,0.46,0.4545,0.38,354,1
2464,4/17/2011,2,0,4,13,0,0,0,1,0.5,0.4848,0.34,343,1
2465,4/17/2011,2,0,4,14,0,0,0,1,0.52,0.5,0.34,361,1
2466,4/17/2011,2,0,4,15,0,0,0,1,0.54,0.5152,0.32,388,1
2467,4/17/2011,2,0,4,16,0,0,0,1,0.54,0.5152,0.3,343,1
2468,4/17/2011,2,0,4,17,0,0,0,1,0.56,0.5303,0.3,306,1
2469,4/17/2011,2,0,4,18,0,0,0,1,0.56,0.5303,0.3,277,1
2470,4/17/2011,2,0,4,19,0,0,0,1,0.56,0.5303,0.3,210,1
2471,4/17/2011,2,0,4,20,0,0,0,1,0.52,0.5,0.36,141,0
2472,4/17/2011,2,0,4,21,0,0,0,1,0.5,0.4848,0.42,83,0
2473,4/17/2011,2,0,4,22,0,0,0,1,0.5,0.4848,0.39,70,0
2474,4/17/2011,2,0,4,23,0,0,0,1,0.44,0.4394,0.67,56,0
2475,4/18/2011,2,0,4,0,0,1,1,1,0.46,0.4545,0.47,39,0
2476,4/18/2011,2,0,4,1,0,1,1,1,0.46,0.4545,0.47,19,0
2477,4/18/2011,2,0,4,2,0,1,1,1,0.42,0.4242,0.67,16,0
2478,4/18/2011,2,0,4,3,0,1,1,1,0.42,0.4242,0.62,7,0
2479,4/18/2011,2,0,4,4,0,1,1,1,0.4,0.4091,0.87,6,0
2480,4/18/2011,2,0,4,5,0,1,1,1,0.4,0.4091,0.76,16,0
2481,4/18/2011,2,0,4,6,0,1,1,1,0.4,0.4091,0.82,54,0
2482,4/18/2011,2,0,4,7,0,1,1,1,0.46,0.4545,0.63,168,0
2483,4/18/2011,2,0,4,8,0,1,1,1,0.46,0.4545,0.63,297,1
2484,4/18/2011,2,0,4,9,0,1,1,2,0.5,0.4848,0.55,169,0
2485,4/18/2011,2,0,4,10,0,1,1,2,0.52,0.5,0.55,109,0
2486,4/18/2011,2,0,4,11,0,1,1,2,0.54,0.5152,0.52,123,0
2487,4/18/2011,2,0,4,12,0,1,1,2,0.56,0.5303,0.49,184,1
2488,4/18/2011,2,0,4,13,0,1,1,2,0.56,0.5303,0.49,169,1
2489,4/18/2011,2,0,4,14,0,1,1,2,0.58,0.5455,0.49,144,0
2490,4/18/2011,2,0,4,15,0,1,1,2,0.6,0.6212,0.43,176,0
2491,4/18/2011,2,0,4,16,0,1,1,1,0.6,0.6212,0.46,205,0
2492,4/18/2011,2,0,4,17,0,1,1,1,0.58,0.5455,0.49,428,1
2493,4/18/2011,2,0,4,18,0,1,1,1,0.64,0.6212,0.31,362,1
2494,4/18/2011,2,0,4,19,0,1,1,1,0.56,0.5303,0.46,286,0
2495,4/18/2011,2,0,4,20,0,1,1,1,0.6,0.6212,0.33,165,0
2496,4/18/2011,2,0,4,21,0,1,1,1,0.56,0.5303,0.37,151,0
2497,4/18/2011,2,0,4,22,0,1,1,1,0.52,0.5,0.55,90,0
2498,4/18/2011,2,0,4,23,0,1,1,1,0.5,0.4848,0.59,46,0
2499,4/19/2011,2,0,4,0,0,2,1,1,0.5,0.4848,0.55,25,0
2500,4/19/2011,2,0,4,1,0,2,1,1,0.46,0.4545,0.63,7,0
2501,4/19/2011,2,0,4,2,0,2,1,1,0.46,0.4545,0.67,13,0
2502,4/19/2011,2,0,4,3,0,2,1,1,0.48,0.4697,0.63,3,0
2503,4/19/2011,2,0,4,4,0,2,1,1,0.46,0.4545,0.67,5,0
2504,4/19/2011,2,0,4,5,0,2,1,2,0.46,0.4545,0.72,18,0
2505,4/19/2011,2,0,4,6,0,2,1,2,0.48,0.4697,0.67,65,0
2506,4/19/2011,2,0,4,7,0,2,1,2,0.52,0.5,0.55,188,0
2507,4/19/2011,2,0,4,8,0,2,1,2,0.5,0.4848,0.68,351,1
2508,4/19/2011,2,0,4,9,0,2,1,3,0.52,0.5,0.63,162,0
2509,4/19/2011,2,0,4,10,0,2,1,2,0.5,0.4848,0.72,75,0
2510,4/19/2011,2,0,4,11,0,2,1,2,0.54,0.5152,0.68,72,0
2511,4/19/2011,2,0,4,12,0,2,1,2,0.54,0.5152,0.64,103,1
2512,4/19/2011,2,0,4,13,0,2,1,2,0.54,0.5152,0.68,129,1
2513,4/19/2011,2,0,4,14,0,2,1,2,0.54,0.5152,0.64,107,0
2514,4/19/2011,2,0,4,15,0,2,1,2,0.54,0.5152,0.65,127,0
2515,4/19/2011,2,0,4,16,0,2,1,1,0.56,0.5303,0.52,192,0
2516,4/19/2011,2,0,4,17,0,2,1,1,0.56,0.5303,0.6,411,1
2517,4/19/2011,2,0,4,18,0,2,1,2,0.54,0.5152,0.64,421,1
2518,4/19/2011,2,0,4,19,0,2,1,2,0.5,0.4848,0.72,276,0
2519,4/19/2011,2,0,4,20,0,2,1,2,0.5,0.4848,0.72,168,0
2520,4/19/2011,2,0,4,21,0,2,1,2,0.5,0.4848,0.72,122,0
2521,4/19/2011,2,0,4,22,0,2,1,1,0.48,0.4697,0.77,112,0
2522,4/19/2011,2,0,4,23,0,2,1,1,0.46,0.4545,0.88,52,0
2523,4/20/2011,2,0,4,0,0,3,1,1,0.44,0.4394,0.88,33,0
2524,4/20/2011,2,0,4,1,0,3,1,1,0.42,0.4242,0.94,7,0
2525,4/20/2011,2,0,4,2,0,3,1,1,0.42,0.4242,0.94,2,0
2526,4/20/2011,2,0,4,3,0,3,1,1,0.42,0.4242,0.94,2,0
2527,4/20/2011,2,0,4,4,0,3,1,1,0.4,0.4091,1.0,9,0
2528,4/20/2011,2,0,4,5,0,3,1,1,0.4,0.4091,0.94,15,0
2529,4/20/2011,2,0,4,6,0,3,1,1,0.42,0.4242,0.94,64,0
2530,4/20/2011,2,0,4,7,0,3,1,1,0.44,0.4394,0.94,237,0
2531,4/20/2011,2,0,4,8,0,3,1,1,0.62,0.6061,0.69,396,1
2532,4/20/2011,2,0,4,9,0,3,1,1,0.66,0.6212,0.61,197,0
2533,4/20/2011,2,0,4,10,0,3,1,1,0.62,0.6061,0.69,131,0
2534,4/20/2011,2,0,4,11,0,3,1,1,0.62,0.6061,0.69,118,0
2535,4/20/2011,2,0,4,12,0,3,1,1,0.7,0.6515,0.48,145,1
2536,4/20/2011,2,0,4,13,0,3,1,1,0.7,0.6515,0.48,177,1
2537,4/20/2011,2,0,4,14,0,3,1,1,0.74,0.6515,0.4,148,0
2538,4/20/2011,2,0,4,15,0,3,1,2,0.76,0.6667,0.35,145,0
2539,4/20/2011,2,0,4,16,0,3,1,2,0.76,0.6667,0.35,255,0
2540,4/20/2011,2,0,4,17,0,3,1,2,0.74,0.6515,0.37,432,1
2541,4/20/2011,2,0,4,18,0,3,1,1,0.74,0.6515,0.3,441,1
2542,4/20/2011,2,0,4,19,0,3,1,1,0.7,0.6364,0.32,383,0
2543,4/20/2011,2,0,4,20,0,3,1,1,0.68,0.6212,0.32,225,0
2544,4/20/2011,2,0,4,21,0,3,1,1,0.66,0.6212,0.36,172,0
2545,4/20/2011,2,0,4,22,0,3,1,1,0.62,0.6212,0.41,117,0
2546,4/20/2011,2,0,4,23,0,3,1,1,0.6,0.6212,0.4,93,0
2547,4/21/2011,2,0,4,0,0,4,1,1,0.56,0.5303,0.43,44,0
2548,4/21/2011,2,0,4,1,0,4,1,1,0.52,0.5,0.45,26,0
2549,4/21/2011,2,0,4,2,0,4,1,1,0.5,0.4848,0.42,13,0
2550,4/21/2011,2,0,4,3,0,4,1,2,0.46,0.4545,0.51,7,0
2551,4/21/2011,2,0,4,4,0,4,1,2,0.44,0.4394,0.54,6,0
2552,4/21/2011,2,0,4,5,0,4,1,2,0.42,0.4242,0.54,14,0
2553,4/21/2011,2,0,4,6,0,4,1,2,0.4,0.4091,0.58,75,0
2554,4/21/2011,2,0,4,7,0,4,1,2,0.42,0.4242,0.47,198,0
2555,4/21/2011,2,0,4,8,0,4,1,2,0.4,0.4091,0.5,365,1
2556,4/21/2011,2,0,4,9,0,4,1,2,0.42,0.4242,0.47,196,0
2557,4/21/2011,2,0,4,10,0,4,1,1,0.42,0.4242,0.44,98,0
2558,4/21/2011,2,0,4,11,0,4,1,1,0.44,0.4394,0.41,133,0
2559,4/21/2011,2,0,4,12,0,4,1,1,0.46,0.4545,0.38,199,1
2560,4/21/2011,2,0,4,13,0,4,1,1,0.48,0.4697,0.33,177,1
2561,4/21/2011,2,0,4,14,0,4,1,1,0.5,0.4848,0.34,228,0
2562,4/21/2011,2,0,4,15,0,4,1,1,0.52,0.5,0.29,235,0
2563,4/21/2011,2,0,4,16,0,4,1,1,0.52,0.5,0.27,294,0
2564,4/21/2011,2,0,4,17,0,4,1,1,0.5,0.4848,0.29,481,1
2565,4/21/2011,2,0,4,18,0,4,1,1,0.5,0.4848,0.25,452,1
2566,4/21/2011,2,0,4,19,0,4,1,1,0.46,0.4545,0.28,324,0
2567,4/21/2011,2,0,4,20,0,4,1,1,0.44,0.4394,0.3,204,0
2568,4/21/2011,2,0,4,21,0,4,1,1,0.42,0.4242,0.47,184,0
2569,4/21/2011,2,0,4,22,0,4,1,1,0.42,0.4242,0.38,137,0
2570,4/21/2011,2,0,4,23,0,4,1,1,0.4,0.4091,0.43,99,0
2571,4/22/2011,2,0,4,0,0,5,1,1,0.36,0.3485,0.62,33,0
2572,4/22/2011,2,0,4,1,0,5,1,1,0.36,0.3333,0.53,24,0
2573,4/22/2011,2,0,4,2,0,5,1,1,0.36,0.3333,0.53,9,0
2574,4/22/2011,2,0,4,3,0,5,1,1,0.36,0.3333,0.53,2,0
2575,4/22/2011,2,0,4,4,0,5,1,1,0.34,0.3182,0.53,3,0
2576,4/22/2011,2,0,4,5,0,5,1,1,0.34,0.3182,0.53,16,0
2577,4/22/2011,2,0,4,6,0,5,1,1,0.34,0.3182,0.53,49,0
2578,4/22/2011,2,0,4,7,0,5,1,2,0.34,0.3182,0.53,180,0
2579,4/22/2011,2,0,4,8,0,5,1,2,0.34,0.3182,0.53,346,1
2580,4/22/2011,2,0,4,9,0,5,1,3,0.34,0.303,0.61,195,0
2581,4/22/2011,2,0,4,10,0,5,1,2,0.36,0.3485,0.62,136,0
2582,4/22/2011,2,0,4,11,0,5,1,3,0.34,0.3333,0.66,106,0
2583,4/22/2011,2,0,4,12,0,5,1,3,0.34,0.3333,0.76,80,1
2584,4/22/2011,2,0,4,13,0,5,1,3,0.34,0.3333,0.87,40,1
2585,4/22/2011,2,0,4,14,0,5,1,3,0.34,0.3182,0.87,36,0
2586,4/22/2011,2,0,4,15,0,5,1,3,0.34,0.3333,0.87,75,0
2587,4/22/2011,2,0,4,16,0,5,1,3,0.34,0.3333,0.87,62,0
2588,4/22/2011,2,0,4,17,0,5,1,3,0.32,0.303,0.93,69,1
2589,4/22/2011,2,0,4,18,0,5,1,3,0.32,0.303,0.93,51,1
2590,4/22/2011,2,0,4,19,0,5,1,3,0.32,0.303,0.93,55,0
2591,4/22/2011,2,0,4,20,0,5,1,3,0.32,0.303,0.87,47,0
2592,4/22/2011,2,0,4,21,0,5,1,3,0.3,0.303,0.93,28,0
2593,4/22/2011,2,0,4,22,0,5,1,3,0.3,0.303,1.0,24,0
2594,4/22/2011,2,0,4,23,0,5,1,3,0.32,0.3333,0.93,17,0
2595,4/23/2011,2,0,4,0,0,6,0,2,0.32,0.3182,1.0,18,0
2596,4/23/2011,2,0,4,1,0,6,0,2,0.32,0.3182,1.0,16,0
2597,4/23/2011,2,0,4,2,0,6,0,3,0.32,0.3333,1.0,17,0
2598,4/23/2011,2,0,4,3,0,6,0,3,0.32,0.3333,1.0,4,0
2599,4/23/2011,2,0,4,4,0,6,0,3,0.34,0.3636,1.0,5,0
2600,4/23/2011,2,0,4,5,0,6,0,3,0.34,0.3636,1.0,7,0
2601,4/23/2011,2,0,4,6,0,6,0,2,0.34,0.3333,1.0,11,0
2602,4/23/2011,2,0,4,7,0,6,0,3,0.34,0.3333,1.0,19,0
2603,4/23/2011,2,0,4,8,0,6,0,2,0.36,0.3333,1.0,47,0
2604,4/23/2011,2,0,4,9,0,6,0,2,0.38,0.3939,0.94,68,0
2605,4/23/2011,2,0,4,10,0,6,0,2,0.42,0.4242,0.88,129,1
2606,4/23/2011,2,0,4,11,0,6,0,2,0.46,0.4545,0.88,232,1
2607,4/23/2011,2,0,4,12,0,6,0,1,0.52,0.5,0.83,291,1
2608,4/23/2011,2,0,4,13,0,6,0,1,0.52,0.5,0.83,312,1
2609,4/23/2011,2,0,4,14,0,6,0,1,0.58,0.5455,0.78,391,1
2610,4/23/2011,2,0,4,15,0,6,0,1,0.6,0.5909,0.73,397,1
2611,4/23/2011,2,0,4,16,0,6,0,1,0.6,0.5909,0.73,426,1
2612,4/23/2011,2,0,4,17,0,6,0,1,0.6,0.5909,0.73,383,1
2613,4/23/2011,2,0,4,18,0,6,0,1,0.58,0.5455,0.78,376,1
2614,4/23/2011,2,0,4,19,0,6,0,1,0.56,0.5303,0.83,283,1
2615,4/23/2011,2,0,4,20,0,6,0,2,0.54,0.5152,0.88,183,0
2616,4/23/2011,2,0,4,21,0,6,0,2,0.56,0.5303,0.83,135,0
2617,4/23/2011,2,0,4,22,0,6,0,2,0.58,0.5455,0.78,169,0
2618,4/23/2011,2,0,4,23,0,6,0,2,0.54,0.5152,0.88,117,0
2619,4/24/2011,2,0,4,0,0,0,0,1,0.52,0.5,0.83,96,0
2620,4/24/2011,2,0,4,1,0,0,0,1,0.5,0.4848,0.88,54,0
2621,4/24/2011,2,0,4,2,0,0,0,1,0.5,0.4848,0.88,72,0
2622,4/24/2011,2,0,4,3,0,0,0,1,0.5,0.4848,0.94,24,0
2623,4/24/2011,2,0,4,4,0,0,0,1,0.5,0.4848,0.94,5,0
2624,4/24/2011,2,0,4,5,0,0,0,1,0.5,0.4848,0.94,12,0
2625,4/24/2011,2,0,4,6,0,0,0,2,0.5,0.4848,1.0,13,0
2626,4/24/2011,2,0,4,7,0,0,0,2,0.5,0.4848,1.0,27,0
2627,4/24/2011,2,0,4,8,0,0,0,1,0.52,0.5,0.94,80,0
2628,4/24/2011,2,0,4,9,0,0,0,1,0.56,0.5303,0.88,177,0
2629,4/24/2011,2,0,4,10,0,0,0,1,0.6,0.5758,0.78,289,1
2630,4/24/2011,2,0,4,11,0,0,0,1,0.66,0.6212,0.65,317,1
2631,4/24/2011,2,0,4,12,0,0,0,1,0.68,0.6364,0.65,388,1
2632,4/24/2011,2,0,4,13,0,0,0,1,0.7,0.6515,0.58,441,1
2633,4/24/2011,2,0,4,14,0,0,0,1,0.7,0.6515,0.54,420,1
2634,4/24/2011,2,0,4,15,0,0,0,1,0.66,0.6212,0.61,369,1
2635,4/24/2011,2,0,4,16,0,0,0,1,0.74,0.6667,0.48,359,1
2636,4/24/2011,2,0,4,17,0,0,0,1,0.66,0.6212,0.65,331,1
2637,4/24/2011,2,0,4,18,0,0,0,1,0.64,0.6061,0.69,270,1
2638,4/24/2011,2,0,4,19,0,0,0,3,0.6,0.5606,0.83,194,1
2639,4/24/2011,2,0,4,20,0,0,0,3,0.6,0.5606,0.83,105,0
2640,4/24/2011,2,0,4,21,0,0,0,3,0.54,0.5152,0.94,61,0
2641,4/24/2011,2,0,4,22,0,0,0,3,0.54,0.5152,1.0,45,0
2642,4/24/2011,2,0,4,23,0,0,0,3,0.54,0.5152,1.0,42,0
2643,4/25/2011,2,0,4,0,0,1,1,3,0.52,0.5,1.0,12,0
2644,4/25/2011,2,0,4,1,0,1,1,1,0.54,0.5152,1.0,10,0
2645,4/25/2011,2,0,4,2,0,1,1,1,0.54,0.5152,1.0,10,0
2646,4/25/2011,2,0,4,3,0,1,1,2,0.5,0.4848,1.0,10,0
2647,4/25/2011,2,0,4,4,0,1,1,2,0.52,0.5,1.0,5,0
2648,4/25/2011,2,0,4,5,0,1,1,2,0.46,0.4545,1.0,17,0
2649,4/25/2011,2,0,4,6,0,1,1,2,0.5,0.4848,1.0,66,0
2650,4/25/2011,2,0,4,7,0,1,1,2,0.52,0.5,1.0,196,0
2651,4/25/2011,2,0,4,8,0,1,1,1,0.56,0.5303,0.88,353,1
2652,4/25/2011,2,0,4,9,0,1,1,1,0.6,0.5606,0.83,174,0
2653,4/25/2011,2,0,4,10,0,1,1,1,0.64,0.6061,0.73,125,0
2654,4/25/2011,2,0,4,11,0,1,1,1,0.64,0.6061,0.73,147,0
2655,4/25/2011,2,0,4,12,0,1,1,1,0.66,0.6212,0.74,188,1
2656,4/25/2011,2,0,4,13,0,1,1,1,0.7,0.6515,0.65,203,1
2657,4/25/2011,2,0,4,14,0,1,1,1,0.72,0.6667,0.54,146,0
2658,4/25/2011,2,0,4,15,0,1,1,1,0.74,0.6667,0.51,175,0
